slug	kind	format	url	title	discoveredFrom	notes
deep-fer-survey	hubs	pdf	https://arxiv.org/pdf/1804.08348	Deep Facial Expression Recognition: A Survey	hub-search	High-coverage FER taxonomy, datasets, losses, transfer learning, and open problems.
facial-expression-datasets-survey	hubs	html	https://pmc.ncbi.nlm.nih.gov/articles/PMC8879817/	Macro- and Micro-Expressions Facial Datasets: A Survey	hub-search	Dataset compilation covering static, video, AU, dimensional, posed, and in-the-wild corpora.
emotiefflib-repository	other	text	https://raw.githubusercontent.com/sb-ai-lab/EmotiEffLib/main/README.md	EmotiEffLib repository README	local-repo	Primary project documentation, performance table, papers, model lineage, and license.
emotiefflib-training-readme	other	text	https://raw.githubusercontent.com/sb-ai-lab/EmotiEffLib/main/training_and_examples/README.md	EmotiEffLib training and examples README	local-repo	Primary index to upstream AffectNet, ABAW, AFEW, VGAF, and personalization training notebooks.
classifying-emotions-engagement	research-papers	html	https://publications.hse.ru/en/articles/690585605	Classifying Emotions and Engagement in Online Learning Based on a Single Facial Expression Recognition Neural Network	emotiefflib-repository	Primary EmotiEffLib lineage paper metadata; capture may be abstract-only.
adaptive-frame-rate	research-papers	pdf	https://proceedings.mlr.press/v202/savchenko23a/savchenko23a.pdf	Facial Expression Recognition with Adaptive Frame Rate based on Multiple Testing Correction	emotiefflib-repository	Primary ICML paper on sequential frame selection and false-discovery-rate control.
frame-level-mobile	research-papers	pdf	https://arxiv.org/pdf/2203.13436	Frame-level Prediction of Facial Expressions, Valence, Arousal and Action Units for Mobile Devices	emotiefflib-repository	Primary paper for EmotiEffNet multi-task/mobile lineage.
emotieffnets-abaw5	research-papers	pdf	https://openaccess.thecvf.com/content/CVPR2023W/ABAW/papers/Savchenko_EmotiEffNets_for_Facial_Processing_in_Video-Based_Valence-Arousal_Prediction_Expression_Classification_CVPRW_2023_paper.pdf	EmotiEffNets for Facial Processing in Video-Based Valence-Arousal Prediction, Expression Classification and Action Unit Detection	emotiefflib-repository	Primary paper on feature extraction, smoothing, ensembles, and Aff-Wild2 tasks.
trustworthy-multitask-abaw6	research-papers	pdf	https://openaccess.thecvf.com/content/CVPR2024W/ABAW/papers/Savchenko_Leveraging_Pre-trained_Multi-task_Deep_Models_for_Trustworthy_Facial_Analysis_in_CVPRW_2024_paper.pdf	Leveraging Pre-trained Multi-task Deep Models for Trustworthy Facial Analysis in ABAW	emotiefflib-repository	Primary comparison of EmotiEffNet and DDAMFN multi-task representations.
efficientnet	research-papers	pdf	https://proceedings.mlr.press/v97/tan19a/tan19a.pdf	EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks	architecture-trace	Defines the EfficientNet B0/B2 backbone family used by EmotiEffLib.
noisy-student	research-papers	pdf	https://openaccess.thecvf.com/content_CVPR_2020/papers/Xie_Self-Training_With_Noisy_Student_Improves_ImageNet_Classification_CVPR_2020_paper.pdf	Self-Training With Noisy Student Improves ImageNet Classification	architecture-trace	Defines the noisy-student pretraining denoted by tf_efficientnet_b0_ns.
vggface2	research-papers	pdf	https://arxiv.org/pdf/1710.08092	VGGFace2: A Dataset for Recognising Faces across Pose and Age	architecture-trace	Face-identification pretraining dataset used before AffectNet fine-tuning.
sam	research-papers	pdf	https://arxiv.org/pdf/2010.01412	Sharpness-Aware Minimization for Efficiently Improving Generalization	training-trace	Optimizer family used by upstream EmotiEffLib notebooks.
affectnet	research-papers	pdf	https://arxiv.org/pdf/1708.03985	AffectNet: A Database for Facial Expression, Valence, and Arousal Computing in the Wild	dataset-search	Primary dataset paper for EmotiEffLib categorical and VA supervision.
affectnet-license	other	pdf	https://mohammadmahoor.com/wp-content/uploads/2023/03/AffectNet-Agreement-v2-30Mar2023.pdf	AffectNet Academic Use License	dataset-search	Primary license terms; non-commercial academic use and separate commercial agreement.
raf-db	research-papers	html	https://pubmed.ncbi.nlm.nih.gov/30183631/	Reliable Crowdsourcing and Deep Locality-Preserving Learning for Unconstrained Facial Expression Recognition	dataset-search	Primary RAF-DB paper metadata and abstract.
